============================================================
  Scraper OAB - JurisWay  (IDs verificados, encoding iso-8859-1)
============================================================

-------------------------------------------------------
  OAB-XXI  (id_prova=642)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=A | media
  [30/80] Direito Administrativo       correta=C | media
  [31/80] Direito Administrativo       correta=A | dificil
  [32/80] Direito Administrativo       correta=B | facil
  [33/80] Direito Ambiental            correta=B | facil
  [34/80] Direito Ambiental            correta=D | facil
  [35/80] Direito Civil                correta=D | facil
  [36/80] Direito Civil                correta=C | facil
  [37/80] Direito Civil                correta=D | media
  [38/80] Direito Civil                correta=D | facil
  [39/80] Direito Civil                correta=D | facil
  [40/80] Direito Civil                correta=B | media
  [41/80] Direito Civil                correta=C | media
  [42/80] Questo 42 - Estatuto da Cria correta=C | facil
  [43/80] Questo 43 - Estatuto da Cria correta=A | facil
  [44/80] Direito do Consumidor        correta=D | media
  [45/80] Direito do Consumidor        correta=B | facil
  [46/80] Direito Empresarial          correta=C | media
  [47/80] Direito Empresarial          correta=D | media
  [48/80] Direito Empresarial          correta=D | media
  [49/80] Direito Empresarial          correta=A | dificil
  [50/80] Direito Empresarial          [sem gabarito] | media
  [51/80] Direito Processual Civil     correta=A | media
  [52/80] Direito Processual Civil     correta=B | dificil
  [53/80] Direito Processual Civil     correta=C | media
  [54/80] Direito Processual Civil     correta=C | dificil
  [55/80] Direito Processual Civil     correta=D | facil
  [56/80] Direito Processual Civil     correta=A | media
  [57/80] Direito Processual Civil     correta=C | dificil
  [58/80] Direito Penal                correta=C | media
  [59/80] Direito Penal                [sem gabarito] | media
  [60/80] Direito Penal                correta=D | media
  [61/80] Direito Penal                correta=A | media
  [62/80] Direito Penal                correta=A | media
  [63/80] Direito Penal                correta=C | dificil
  [64/80] Direito Processual Penal     correta=C | media
  [65/80] Direito Processual Penal     correta=B | media
  [66/80] Direito Processual Penal     correta=D | media
  [67/80] Direito Processual Penal     correta=D | media
  [68/80] Direito Processual Penal     correta=B | media
  [69/80] Direito Processual Penal     correta=D | media
  [70/80] Direito do Trabalho          correta=C | facil
  [71/80] Direito do Trabalho          correta=C | facil
  [72/80] Direito do Trabalho          correta=B | facil
  [73/80] Direito do Trabalho          correta=B | media
  [74/80] Direito do Trabalho          correta=B | media
  [75/80] Direito do Trabalho          correta=A | media
  [76/80] Direito Processual do Trabal correta=A | media
  [77/80] Direito Processual do Trabal correta=A | facil
  [78/80] Direito Processual do Trabal correta=A | facil
  [79/80] Direito Processual do Trabal correta=A | media
  [80/80] Direito Processual do Trabal correta=C | media

-------------------------------------------------------
  OAB-XXXVI  (id_prova=679)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=B | media
  [ 2/80] Etica Profissional           correta=A | media
  [ 3/80] Etica Profissional           correta=D | media
  [ 4/80] Etica Profissional           correta=D | facil
  [ 5/80] Etica Profissional           correta=B | media
  [ 6/80] Etica Profissional           correta=C | media
  [ 7/80] Etica Profissional           correta=D | facil
  [ 8/80] Etica Profissional           correta=D | facil
  [ 9/80] Filosofia do Direito         correta=A | media
  [10/80] Filosofia do Direito         correta=B | dificil
  [11/80] Direito Constitucional       correta=C | media
  [12/80] Direito Constitucional       correta=B | facil
  [13/80] Direito Constitucional       correta=D | media
  [14/80] Direito Constitucional       correta=B | media
  [15/80] Direito Constitucional       correta=C | facil
  [16/80] Direito Constitucional       correta=A | facil
  [17/80] Direito Constitucional       correta=A | media
  [18/80] Direitos Humanos             correta=A | dificil
  [19/80] Direitos Humanos             correta=D | facil
  [20/80] Direito Internacional        correta=B | facil
  [21/80] Direito Internacional        correta=D | media
  [22/80] Questo 22 - Direito Tributri correta=C | media
  [23/80] Questo 23 - Direito Tributri correta=C | media
  [24/80] Questo 24 - Direito Tributri correta=C | facil
  [25/80] Questo 25 - Direito Tributri correta=B | media
  [26/80] Questo 26 - Direito Tributri correta=A | dificil
  [27/80] Direito Administrativo       correta=D | facil
  [28/80] Direito Administrativo       correta=A | media
  [29/80] Direito Administrativo       correta=D | facil
  [30/80] Direito Administrativo       correta=B | media
  [31/80] Direito Administrativo       correta=C | media
  [32/80] Direito Administrativo       correta=D | media
  [33/80] Direito Ambiental            correta=B | facil
  [34/80] Direito Ambiental            correta=A | media
  [35/80] Direito Civil                correta=D | facil
  [36/80] Direito Civil                correta=C | media
  [37/80] Direito Civil                correta=B | facil
  [38/80] Direito Civil                correta=B | media
  [39/80] Direito Civil                correta=B | facil
  [40/80] Direito Civil                correta=B | media
  [41/80] Direito Civil                correta=D | facil
  [42/80] Questo 42 - Estatuto da Cria correta=B | facil
  [43/80] Questo 43 - Estatuto da Cria correta=B | media
  [44/80] Direito do Consumidor        correta=D | facil
  [45/80] Direito do Consumidor        correta=C | media
  [46/80] Direito Empresarial          correta=A | dificil
  [47/80] Direito Empresarial          correta=D | media
  [48/80] Direito Empresarial          correta=B | dificil
  [49/80] Direito Empresarial          correta=A | media
  [50/80] Direito Empresarial          [sem gabarito] | media
  [51/80] Direito Processual Civil     [sem gabarito] | media
  [52/80] Direito Processual Civil     correta=D | media
  [53/80] Direito Processual Civil     correta=C | dificil
  [54/80] Direito Processual Civil     correta=A | media
  [55/80] Direito Processual Civil     correta=C | media
  [56/80] Direito Processual Civil     correta=A | dificil
  [57/80] Direito Processual Civil     correta=C | dificil
  [58/80] Direito Penal                correta=B | facil
  [59/80] Direito Penal                correta=C | media
  [60/80] Direito Penal                correta=D | facil
  [61/80] Direito Penal                correta=C | media
  [62/80] Direito Penal                correta=A | media
  [63/80] Direito Penal                correta=C | facil
  [64/80] Direito Processual Penal     correta=D | facil
  [65/80] Direito Processual Penal     correta=A | media
  [66/80] Direito Processual Penal     correta=B | media
  [67/80] Direito Processual Penal     correta=D | media
  [68/80] Direito Processual Penal     correta=A | dificil
  [69/80] Direito Processual Penal     correta=D | media
  [70/80] Direito do Trabalho          correta=B | media
  [71/80] Direito do Trabalho          correta=C | facil
  [72/80] Direito do Trabalho          correta=C | media
  [73/80] Direito do Trabalho          correta=A | media
  [74/80] Direito do Trabalho          correta=A | media
  [75/80] Direito do Trabalho          correta=A | facil
  [76/80] Direito Processual do Trabal correta=C | facil
  [77/80] Direito Processual do Trabal correta=A | media
  [78/80] Direito Processual do Trabal correta=B | media
  [79/80] Direito Processual do Trabal correta=C | media
  [80/80] Direito Processual do Trabal correta=A | media

-------------------------------------------------------
  OAB-XXXVII  (id_prova=680)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=D | media
  [ 2/80] Etica Profissional           correta=D | facil
  [ 3/80] Etica Profissional           correta=B | facil
  [ 4/80] Etica Profissional           correta=D | facil
  [ 5/80] Etica Profissional           correta=B | facil
  [ 6/80] Etica Profissional           correta=C | media
  [ 7/80] Etica Profissional           [sem gabarito] | media
  [ 8/80] Etica Profissional           correta=A | facil
  [ 9/80] Filosofia do Direito         correta=D | dificil
  [10/80] Filosofia do Direito         correta=C | dificil
  [11/80] Direito Constitucional       correta=D | media
  [12/80] Direito Constitucional       correta=B | facil
  [13/80] Direito Constitucional       correta=A | facil
  [14/80] Direito Constitucional       correta=B | facil
  [15/80] Direito Constitucional       correta=C | facil
  [16/80] Direito Constitucional       correta=B | facil
  [17/80] Direito Constitucional       correta=B | media
  [18/80] Direitos Humanos             correta=D | media
  [19/80] Direitos Humanos             correta=D | facil
  [20/80] Direito Internacional        correta=A | media
  [21/80] Direito Internacional        correta=C | facil
  [22/80] Questo 22 - Direito Tributri correta=A | facil
  [23/80] Questo 23 - Direito Tributri correta=B | dificil
  [24/80] Questo 24 - Direito Tributri correta=C | media
  [25/80] Questo 25 - Direito Tributri correta=C | media
  [26/80] Questo 26 - Direito Tributri correta=B | media
  [27/80] Direito Administrativo       correta=D | dificil
  [28/80] Direito Administrativo       correta=A | media
  [29/80] Direito Administrativo       correta=D | dificil
  [30/80] Direito Administrativo       correta=A | media
  [31/80] Direito Administrativo       correta=D | facil
  [32/80] Direito Administrativo       correta=D | media
  [33/80] Direito Ambiental            correta=D | media
  [34/80] Direito Ambiental            correta=A | media
  [35/80] Direito Civil                correta=C | media
  [36/80] Direito Civil                correta=B | facil
  [37/80] Direito Civil                correta=B | facil
  [38/80] Direito Civil                correta=C | facil
  [39/80] Direito Civil                correta=A | media
  [40/80] Direito Civil                correta=C | facil
  [41/80] Direito Civil                correta=B | facil
  [42/80] Questo 42 - Estatuto da Cria correta=B | media
  [43/80] Questo 43 - Estatuto da Cria correta=D | media
  [44/80] Direito do Consumidor        correta=D | dificil
  [45/80] Direito do Consumidor        correta=C | media
  [46/80] Direito Empresarial          correta=A | media
  [47/80] Direito Empresarial          correta=C | media
  [48/80] Direito Empresarial          correta=D | media
  [49/80] Direito Empresarial          correta=A | facil
  [50/80] Direito Empresarial          correta=C | dificil
  [51/80] Direito Processual Civil     correta=C | media
  [52/80] Direito Processual Civil     correta=C | media
  [53/80] Direito Processual Civil     correta=B | media
  [54/80] Direito Processual Civil     correta=C | facil
  [55/80] Direito Processual Civil     correta=D | facil
  [56/80] Direito Processual Civil     correta=B | media
  [57/80] Direito Processual Civil     correta=B | dificil
  [58/80] Direito Penal                correta=A | facil
  [59/80] Direito Penal                correta=C | media
  [60/80] Direito Penal                correta=D | facil
  [61/80] Direito Penal                correta=A | facil
  [62/80] Direito Penal                correta=B | facil
  [63/80] Direito Penal                correta=D | media
  [64/80] Direito Processual Penal     correta=D | media
  [65/80] Direito Processual Penal     correta=B | media
  [66/80] Direito Processual Penal     correta=C | facil
  [67/80] Direito Processual Penal     correta=A | facil
  [68/80] Direito Processual Penal     correta=C | media
  [69/80] Direito Processual Penal     [sem gabarito] | media
  [70/80] Direito do Trabalho          correta=A | media
  [71/80] Direito do Trabalho          correta=A | dificil
  [72/80] Direito do Trabalho          correta=A | media
  [73/80] Direito do Trabalho          correta=D | facil
  [74/80] Direito do Trabalho          correta=B | facil
  [75/80] Direito do Trabalho          correta=B | media
  [76/80] Direito Processual do Trabal correta=A | facil
  [77/80] Direito Processual do Trabal correta=B | media
  [78/80] Direito Processual do Trabal correta=A | dificil
  [79/80] Direito Processual do Trabal correta=D | facil
  [80/80] Direito Processual do Trabal correta=B | media

-------------------------------------------------------
  OAB-XXXVIII  (id_prova=681)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=C | media
  [ 2/80] Etica Profissional           correta=D | media
  [ 3/80] Etica Profissional           correta=B | media
  [ 4/80] Etica Profissional           correta=A | facil
  [ 5/80] Etica Profissional           correta=C | media
  [ 6/80] Etica Profissional           correta=B | facil
  [ 7/80] Etica Profissional           correta=D | facil
  [ 8/80] Etica Profissional           correta=B | media
  [ 9/80] Filosofia do Direito         correta=A | media
  [10/80] Filosofia do Direito         correta=A | dificil
  [11/80] Direito Constitucional       correta=D | media
  [12/80] Direito Constitucional       correta=C | dificil
  [13/80] Direito Constitucional       correta=A | facil
  [14/80] Direito Constitucional       correta=C | facil
  [15/80] Direito Constitucional       correta=C | media
  [16/80] Direito Constitucional       correta=A | dificil
  [17/80] Direitos Humanos             correta=C | facil
  [18/80] Direitos Humanos             correta=C | facil
  [19/80] Direito Eleitoral            correta=D | media
  [20/80] Direito Eleitoral            correta=B | dificil
  [21/80] Direito Internacional        correta=B | media
  [22/80] Direito Internacional        correta=A | media
  [23/80] Direito Financeiro           correta=D | dificil
  [24/80] Direito Financeiro           correta=B | media
  [25/80] Questo 25 - Direito Tributri correta=C | media
  [26/80] Questo 26 - Direito Tributri correta=D | media
  [27/80] Questo 27 - Direito Tributri correta=A | media
  [28/80] Questo 28 - Direito Tributri correta=D | media
  [29/80] Questo 29 - Direito Tributri correta=C | facil
  [30/80] Direito Administrativo       correta=D | media
  [31/80] Direito Administrativo       correta=A | media
  [32/80] Direito Administrativo       correta=D | facil
  [33/80] Direito Administrativo       correta=A | media
  [34/80] Direito Administrativo       correta=D | facil
  [35/80] Direito Ambiental            correta=D | dificil
  [36/80] Direito Ambiental            correta=C | facil
  [37/80] Direito Civil                correta=D | facil
  [38/80] Direito Civil                correta=A | facil
  [39/80] Direito Civil                correta=C | facil
  [40/80] Direito Civil                correta=D | dificil
  [41/80] Direito Civil                correta=B | dificil
  [42/80] Direito Civil                correta=A | media
  [43/80] Questo 43 - Estatuto da Cria correta=C | media
  [44/80] Questo 44 - Estatuto da Cria correta=C | facil
  [45/80] Direito do Consumidor        [sem gabarito] | media
  [46/80] Direito do Consumidor        correta=A | media
  [47/80] Direito Empresarial          correta=A | media
  [48/80] Direito Empresarial          correta=D | dificil
  [49/80] Direito Empresarial          correta=B | facil
  [50/80] Direito Empresarial          correta=A | media
  [51/80] Direito Processual Civil     correta=B | media
  [52/80] Direito Processual Civil     correta=C | media
  [53/80] Direito Processual Civil     correta=D | facil
  [54/80] Direito Processual Civil     correta=D | dificil
  [55/80] Direito Processual Civil     correta=A | facil
  [56/80] Direito Processual Civil     correta=B | media
  [57/80] Direito Penal                correta=A | facil
  [58/80] Direito Penal                correta=B | dificil
  [59/80] Direito Penal                correta=B | facil
  [60/80] Direito Penal                [sem gabarito] | media
  [61/80] Direito Penal                correta=B | media
  [62/80] Direito Penal                [sem gabarito] | media
  [63/80] Direito Processual Penal     correta=C | media
  [64/80] Direito Processual Penal     correta=C | media
  [65/80] Direito Processual Penal     correta=A | media
  [66/80] Direito Processual Penal     correta=B | facil
  [67/80] Direito Processual Penal     correta=C | facil
  [68/80] Direito Processual Penal     correta=C | media
  [69/80] Questo 69 - Direito Previden correta=A | facil
  [70/80] Questo 70 - Direito Previden correta=B | facil
  [71/80] Direito do Trabalho          correta=D | media
  [72/80] Direito do Trabalho          correta=D | facil
  [73/80] Direito do Trabalho          correta=B | media
  [74/80] Direito do Trabalho          correta=B | facil
  [75/80] Direito do Trabalho          correta=B | facil
  [76/80] Direito Processual do Trabal correta=C | media
  [77/80] Direito Processual do Trabal correta=A | dificil
  [78/80] Direito Processual do Trabal correta=C | media
  [79/80] Direito Processual do Trabal correta=A | media
  [80/80] Direito Processual do Trabal correta=D | facil

-------------------------------------------------------
  OAB-XXXIX  (id_prova=682)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=A | facil
  [ 2/80] Etica Profissional           correta=D | media
  [ 3/80] Etica Profissional           correta=D | facil
  [ 4/80] Etica Profissional           correta=C | media
  [ 5/80] Etica Profissional           correta=A | facil
  [ 6/80] Etica Profissional           correta=D | facil
  [ 7/80] Etica Profissional           correta=B | facil
  [ 8/80] Etica Profissional           correta=A | media
  [ 9/80] Filosofia do Direito         correta=D | media
  [10/80] Filosofia do Direito         correta=D | media
  [11/80] Direito Constitucional       correta=C | media
  [12/80] Direito Constitucional       correta=B | dificil
  [13/80] Direito Constitucional       correta=A | media
  [14/80] Direito Constitucional       correta=C | media
  [15/80] Direito Constitucional       correta=A | media
  [16/80] Direito Constitucional       correta=B | media
  [17/80] Direitos Humanos             correta=B | facil
  [18/80] Direitos Humanos             [sem gabarito] | media
  [19/80] Direito Eleitoral            correta=A | dificil
  [20/80] Direito Eleitoral            correta=C | media
  [21/80] Direito Internacional        correta=B | media
  [22/80] Direito Internacional        correta=A | facil
  [23/80] Direito Financeiro           correta=C | media
  [24/80] Direito Financeiro           correta=A | dificil
  [25/80] Questo 25 - Direito Tributri correta=C | facil
  [26/80] Questo 26 - Direito Tributri correta=D | facil
  [27/80] Questo 27 - Direito Tributri correta=A | dificil
  [28/80] Questo 28 - Direito Tributri correta=D | dificil
  [29/80] Questo 29 - Direito Tributri correta=C | media
  [30/80] Direito Administrativo       correta=D | media
  [31/80] Direito Administrativo       correta=A | media
  [32/80] Direito Administrativo       correta=D | media
  [33/80] Direito Administrativo       correta=C | dificil
  [34/80] Direito Administrativo       correta=A | media
  [35/80] Direito Ambiental            correta=B | facil
  [36/80] Direito Ambiental            correta=C | facil
  [37/80] Direito Civil                correta=C | facil
  [38/80] Direito Civil                correta=D | facil
  [39/80] Direito Civil                correta=B | dificil
  [40/80] Direito Civil                correta=D | facil
  [41/80] Direito Civil                correta=C | dificil
  [42/80] Direito Civil                correta=D | dificil
  [43/80] Questo 43 - Estatuto da Cria correta=B | media
  [44/80] Questo 44 - Estatuto da Cria correta=B | facil
  [45/80] Direito do Consumidor        correta=C | facil
  [46/80] Direito do Consumidor        correta=B | dificil
  [47/80] Direito Empresarial          correta=A | dificil
  [48/80] Direito Empresarial          correta=B | media
  [49/80] Direito Empresarial          [sem gabarito] | media
  [50/80] Direito Empresarial          correta=A | dificil
  [51/80] Direito Processual Civil     correta=B | dificil
  [52/80] Direito Processual Civil     correta=D | facil
  [53/80] Direito Processual Civil     correta=C | dificil
  [54/80] Direito Processual Civil     correta=D | facil
  [55/80] Direito Processual Civil     correta=D | media
  [56/80] Direito Processual Civil     correta=D | dificil
  [57/80] Direito Penal                correta=A | media
  [58/80] Direito Penal                correta=B | facil
  [59/80] Direito Penal                correta=B | media
  [60/80] Direito Penal                correta=B | facil
  [61/80] Direito Penal                correta=D | facil
  [62/80] Direito Penal                correta=A | media
  [63/80] Direito Processual Penal     [sem gabarito] | media
  [64/80] Direito Processual Penal     correta=C | facil
  [65/80] Direito Processual Penal     correta=D | facil
  [66/80] Direito Processual Penal     correta=A | media
  [67/80] Direito Processual Penal     correta=A | media
  [68/80] Direito Processual Penal     correta=C | media
  [69/80] Questo 69 - Direito Previden correta=C | facil
  [70/80] Questo 70 - Direito Previden correta=B | media
  [71/80] Direito do Trabalho          correta=D | facil
  [72/80] Direito do Trabalho          correta=B | facil
  [73/80] Direito do Trabalho          correta=B | facil
  [74/80] Direito do Trabalho          correta=A | dificil
  [75/80] Direito do Trabalho          correta=B | media
  [76/80] Direito Processual do Trabal correta=C | media
  [77/80] Direito Processual do Trabal correta=B | media
  [78/80] Direito Processual do Trabal correta=A | media
  [79/80] Direito Processual do Trabal correta=A | facil
  [80/80] Direito Processual do Trabal correta=C | media

-------------------------------------------------------
  OAB-XL  (id_prova=683)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=B | media
  [ 2/80] Etica Profissional           correta=C | facil
  [ 3/80] Etica Profissional           correta=A | facil
  [ 4/80] Etica Profissional           correta=C | facil
  [ 5/80] Etica Profissional           [sem gabarito] | media
  [ 6/80] Etica Profissional           correta=C | facil
  [ 7/80] Etica Profissional           correta=D | facil
  [ 8/80] Etica Profissional           correta=A | media
  [ 9/80] Filosofia do Direito         correta=B | media
  [10/80] Filosofia do Direito         correta=C | media
  [11/80] Direito Constitucional       correta=B | dificil
  [12/80] Direito Constitucional       correta=D | facil
  [13/80] Direito Constitucional       correta=B | facil
  [14/80] Direito Constitucional       correta=B | facil
  [15/80] Direito Constitucional       correta=B | media
  [16/80] Direito Constitucional       correta=D | dificil
  [17/80] Direitos Humanos             correta=A | dificil
  [18/80] Direitos Humanos             correta=B | facil
  [19/80] Direito Eleitoral            correta=D | media
  [20/80] Direito Eleitoral            correta=A | media
  [21/80] Direito Internacional        correta=D | facil
  [22/80] Direito Internacional        correta=B | facil
  [23/80] Direito Financeiro           correta=A | media
  [24/80] Direito Financeiro           correta=C | facil
  [25/80] Questo 25 - Direito Tributri correta=A | media
  [26/80] Questo 26 - Direito Tributri correta=C | media
  [27/80] Questo 27 - Direito Tributri correta=D | dificil
  [28/80] Questo 28 - Direito Tributri correta=D | media
  [29/80] Questo 29 - Direito Tributri correta=B | media
  [30/80] Direito Administrativo       correta=C | dificil
  [31/80] Direito Administrativo       correta=D | facil
  [32/80] Direito Administrativo       correta=B | facil
  [33/80] Direito Administrativo       correta=D | media
  [34/80] Direito Administrativo       correta=D | facil
  [35/80] Direito Ambiental            correta=A | media
  [36/80] Direito Ambiental            correta=C | media
  [37/80] Direito Civil                correta=B | facil
  [38/80] Direito Civil                correta=C | media
  [39/80] Direito Civil                correta=C | dificil
  [40/80] Direito Civil                correta=B | media
  [41/80] Direito Civil                correta=C | facil
  [42/80] Direito Civil                correta=A | facil
  [43/80] Questo 43 - Estatuto da Cria correta=D | facil
  [44/80] Questo 44 - Estatuto da Cria correta=C | media
  [45/80] Direito do Consumidor        correta=D | facil
  [46/80] Direito do Consumidor        correta=C | media
  [47/80] Direito Empresarial          correta=B | media
  [48/80] Direito Empresarial          correta=A | media
  [49/80] Direito Empresarial          correta=A | media
  [50/80] Direito Empresarial          correta=C | media
  [51/80] Direito Processual Civil     correta=B | media
  [52/80] Direito Processual Civil     correta=D | facil
  [53/80] Direito Processual Civil     correta=B | media
  [54/80] Direito Processual Civil     correta=A | facil
  [55/80] Direito Processual Civil     correta=D | media
  [56/80] Direito Processual Civil     correta=C | dificil
  [57/80] Direito Penal                correta=A | facil
  [58/80] Direito Penal                correta=B | facil
  [59/80] Direito Penal                correta=D | media
  [60/80] Direito Penal                correta=A | media
  [61/80] Direito Penal                correta=D | media
  [62/80] Direito Penal                correta=A | dificil
  [63/80] Direito Processual Penal     correta=C | media
  [64/80] Direito Processual Penal     correta=C | media
  [65/80] Direito Processual Penal     correta=A | media
  [66/80] Direito Processual Penal     correta=B | media
  [67/80] Direito Processual Penal     correta=A | media
  [68/80] Direito Processual Penal     correta=B | dificil
  [69/80] Questo 69 - Direito Previden correta=C | media
  [70/80] Questo 70 - Direito Previden correta=A | media
  [71/80] Direito do Trabalho          correta=B | facil
  [72/80] Direito do Trabalho          correta=A | media
  [73/80] Direito do Trabalho          correta=C | dificil
  [74/80] Direito do Trabalho          correta=D | facil
  [75/80] Direito do Trabalho          correta=D | dificil
  [76/80] Direito Processual do Trabal correta=D | media
  [77/80] Direito Processual do Trabal correta=C | media
  [78/80] Direito Processual do Trabal correta=C | media
  [79/80] Direito Processual do Trabal correta=B | media
  [80/80] Direito Processual do Trabal correta=A | media

-------------------------------------------------------
  OAB-XLI  (id_prova=684)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=B | facil
  [ 2/80] Etica Profissional           correta=A | media
  [ 3/80] Etica Profissional           correta=B | media
  [ 4/80] Etica Profissional           correta=D | facil
  [ 5/80] Etica Profissional           correta=A | facil
  [ 6/80] Etica Profissional           correta=B | facil
  [ 7/80] Etica Profissional           correta=C | facil
  [ 8/80] Etica Profissional           correta=C | facil
  [ 9/80] Filosofia do Direito         correta=B | media
  [10/80] Filosofia do Direito         correta=B | dificil
  [11/80] Direito Constitucional       correta=B | media
  [12/80] Direito Constitucional       correta=C | facil
  [13/80] Direito Constitucional       correta=B | facil
  [14/80] Direito Constitucional       correta=B | facil
  [15/80] Direito Constitucional       correta=B | dificil
  [16/80] Direito Constitucional       correta=A | dificil
  [17/80] Direitos Humanos             correta=A | dificil
  [18/80] Direitos Humanos             correta=B | facil
  [19/80] Direito Eleitoral            correta=C | facil
  [20/80] Direito Eleitoral            correta=B | media
  [21/80] Direito Internacional        correta=A | facil
  [22/80] Direito Internacional        correta=B | facil
  [23/80] Direito Financeiro           correta=A | media
  [24/80] Direito Financeiro           correta=C | dificil
  [25/80] Questo 25 - Direito Tributri correta=D | media
  [26/80] Questo 26 - Direito Tributri correta=C | dificil
  [27/80] Questo 27 - Direito Tributri correta=D | media
  [28/80] Questo 28 - Direito Tributri correta=C | media
  [29/80] Questo 29 - Direito Tributri correta=B | media
  [30/80] Direito Administrativo       correta=C | facil
  [31/80] Direito Administrativo       correta=D | media
  [32/80] Direito Administrativo       correta=A | media
  [33/80] Direito Administrativo       correta=D | media
  [34/80] Direito Administrativo       correta=C | media
  [35/80] Direito Ambiental            correta=C | facil
  [36/80] Direito Ambiental            correta=D | facil
  [37/80] Direito Civil                correta=D | media
  [38/80] Direito Civil                correta=B | media
  [39/80] Direito Civil                correta=D | facil
  [40/80] Direito Civil                correta=A | facil
  [41/80] Direito Civil                correta=D | facil
  [42/80] Direito Civil                correta=D | facil
  [43/80] Questo 43 - Estatuto da Cria correta=A | facil
  [44/80] Questo 44 - Estatuto da Cria correta=B | media
  [45/80] Direito do Consumidor        correta=A | media
  [46/80] Direito do Consumidor        correta=A | facil
  [47/80] Direito Empresarial          correta=C | dificil
  [48/80] Direito Empresarial          correta=D | media
  [49/80] Direito Empresarial          correta=A | dificil
  [50/80] Direito Empresarial          correta=B | dificil
  [51/80] Direito Processual Civil     correta=D | facil
  [52/80] Direito Processual Civil     correta=D | dificil
  [53/80] Direito Processual Civil     correta=B | facil
  [54/80] Direito Processual Civil     correta=B | dificil
  [55/80] Direito Processual Civil     correta=C | facil
  [56/80] Direito Processual Civil     correta=A | media
  [57/80] Direito Penal                correta=D | media
  [58/80] Direito Penal                correta=C | facil
  [59/80] Direito Penal                correta=D | media
  [60/80] Direito Penal                correta=A | dificil
  [61/80] Direito Penal                correta=D | media
  [62/80] Direito Penal                correta=C | media
  [63/80] Direito Processual Penal     correta=A | media
  [64/80] Direito Processual Penal     correta=A | media
  [65/80] Direito Processual Penal     correta=C | media
  [66/80] Direito Processual Penal     correta=A | media
  [67/80] Direito Processual Penal     correta=C | facil
  [68/80] Direito Processual Penal     correta=C | media
  [69/80] Questo 69 - Direito Previden correta=D | facil
  [70/80] Questo 70 - Direito Previden correta=A | media
  [71/80] Direito do Trabalho          correta=A | facil
  [72/80] Direito do Trabalho          correta=C | facil
  [73/80] Direito do Trabalho          correta=D | facil
  [74/80] Direito do Trabalho          correta=C | media
  [75/80] Direito do Trabalho          correta=B | media
  [76/80] Direito Processual do Trabal correta=C | facil
  [77/80] Direito Processual do Trabal correta=D | media
  [78/80] Direito Processual do Trabal correta=B | media
  [79/80] Direito Processual do Trabal correta=A | media
  [80/80] Direito Processual do Trabal correta=A | dificil

-------------------------------------------------------
  OAB-XLII  (id_prova=685)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=D | facil
  [ 2/80] Etica Profissional           correta=B | media
  [ 3/80] Etica Profissional           correta=D | facil
  [ 4/80] Etica Profissional           correta=A | facil
  [ 5/80] Etica Profissional           correta=D | facil
  [ 6/80] Etica Profissional           correta=B | facil
  [ 7/80] Etica Profissional           correta=C | facil
  [ 8/80] Etica Profissional           correta=A | facil
  [ 9/80] Filosofia do Direito         correta=D | media
  [10/80] Filosofia do Direito         correta=A | media
  [11/80] Direito Constitucional       correta=B | media
  [12/80] Direito Constitucional       correta=A | media
  [13/80] Direito Constitucional       correta=D | facil
  [14/80] Direito Constitucional       correta=A | media
  [15/80] Direito Constitucional       correta=D | facil
  [16/80] Direito Constitucional       correta=D | facil
  [17/80] Direitos Humanos             correta=A | media
  [18/80] Direitos Humanos             correta=B | facil
  [19/80] Direito Eleitoral            correta=B | facil
  [20/80] Direito Eleitoral            correta=D | facil
  [21/80] Direito Internacional        correta=B | media
  [22/80] Direito Internacional        correta=D | media
  [23/80] Direito Financeiro           correta=C | facil
  [24/80] Direito Financeiro           correta=B | media
  [25/80] Questo 25 - Direito Tributri correta=C | media
  [26/80] Questo 26 - Direito Tributri correta=C | media
  [27/80] Questo 27 - Direito Tributri correta=A | dificil
  [28/80] Questo 28 - Direito Tributri correta=A | media
  [29/80] Questo 29 - Direito Tributri correta=C | facil
  [30/80] Direito Administrativo       correta=B | media
  [31/80] Direito Administrativo       correta=C | media
  [32/80] Direito Administrativo       correta=A | dificil
  [33/80] Direito Administrativo       correta=A | media
  [34/80] Direito Administrativo       correta=D | media
  [35/80] Direito Ambiental            correta=C | media
  [36/80] Direito Ambiental            correta=A | media
  [37/80] Direito Civil                correta=D | facil
  [38/80] Direito Civil                correta=B | media
  [39/80] Direito Civil                correta=C | facil
  [40/80] Direito Civil                correta=B | facil
  [41/80] Direito Civil                correta=D | media
  [42/80] Direito Civil                correta=C | media
  [43/80] Questo 43 - Estatuto da Cria [sem gabarito] | media
  [44/80] Questo 44 - Estatuto da Cria correta=C | facil
